C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:17:00

spstring~'G' & nbref>=30
------------------------

Number of objects : 3976

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|----|----
150 |V* RS Cas                          |cC*|23 37 16.0605712200 +62 25 44.370924552|     ~|11.4  |10.06 |     ~| 8.233|F7-G1Ib              |  96|   0
151 |IRAS 23304+6147                    |pA*|23 32 44.7854376478 +62 03 49.083515796|     ~|15.36 |12.99 |12.23 |10.50 |G2Ia                 | 109|   0
152 |V* CD Cas                          |cC*|23 45 02.6274815930 +63 00 13.868911777|     ~|11.62 |10.64 |     ~|     ~|F6-G5                |  61|   0
153 |HD 371                             |*  |00 08 32.8653069085 +63 12 14.524131194|     ~| 7.422| 6.420|     ~|     ~|G3II                 |  31|   0
154 |HD 6312                            |PM*|01 05 26.4879317342 +63 43 16.653610274|     ~| 8.85 |     ~| 7.9  |     ~|G0                   |  38|   0
155 |HD 6755                            |SB*|01 09 43.0595349996 +61 32 50.293373799| 8.48 | 8.40 |     ~| 7.3  |     ~|G5                   | 226|   0
156 |V* OX Cas                          |Al*|01 09 00.0987902761 +61 28 14.837498256| 9.71 |10.18 | 9.9  |     ~|     ~|B6+G0                |  88|   0
157 |V* UZ Cas                          |cC*|01 12 41.1652799561 +61 12 48.086875357|     ~|12.15 |11.45 |     ~|     ~|G2                   |  64|   0
158 |HD 13437                           |*  |02 13 28.7857291810 +59 11 45.594778375|     ~| 8.78 | 7.61 |     ~|     ~|G5II                 |  30|   0
159 |V* VX Per                          |cC*|02 07 48.4806035107 +58 26 36.740590982|     ~|10.47 | 9.37 |     ~| 7.927|G2IV                 | 169|   0
160 |* chi Per                          |*  |02 18 04.5844857610 +57 30 58.757945030|     ~| 7.036| 6.023|     ~|     ~|G7.0III              | 159|   1
161 |* gam Per                          |Al*|03 04 47.7907410 +53 30 23.168725      | 4.08 | 3.63 | 2.93 | 2.34 | 1.89 |G9III+A2-III:        | 195|   0
162 |HD 20670                           |PM*|03 21 56.7917799880 +52 37 18.892337983|10.389|     ~|     ~| 7.2  |     ~|G5                   |  31|   0
163 |HD 20123                           |*  |03 16 12.2033348937 +50 56 15.586367207| 7.01 | 6.18 | 5.03 |     ~|     ~|G5Ib-IIa             |  86|   0
164 |V* V532 Per                        |BY*|03 26 22.2273870866 +49 25 37.502101730|     ~|11.98 |11.27 |     ~|     ~|G2-3V                |  52|   0
165 |HD 25918                           |PM*|04 08 14.2600797597 +44 39 46.216908003|     ~|     ~|     ~| 7.3  |     ~|G5                   |  37|   0
166 |HD 25693                           |** |04 06 25.49311 +43 25 05.3556          |     ~|     ~|     ~| 6.9  |     ~|G9V                  |  45|   0
167 |HD 186306                          |PM*|19 41 45.6456419949 +43 44 51.713559249|     ~| 8.70 | 7.96 |     ~|     ~|G9V                  |  46|   0
168 |BD+44 3197                         |PM*|19 37 54.5253612516 +44 59 04.628808348|     ~|     ~|     ~| 9.3  |     ~|G0IV                 |  58|   0
169 |KOI-2687                           |Ro*|19 30 27.6263479586 +42 45 51.307481443|     ~|10.96 |10.31 |     ~|     ~|G5V                  |  38|   0
170 |KOI-364                            |Ro*|19 43 29.3537343599 +42 52 52.080705146|     ~|10.81 |10.13 |     ~|     ~|G2.5IVa              |  50|   0
171 |BD+44 3244                         |*  |19 46 17.8467474629 +44 49 39.612542675|     ~|10.24 | 9.51 |     ~|     ~|G5IV-V               |  31|   0
172 |TYC 3556-3445-1                    |Ro*|19 40 21.2108165107 +45 29 20.960913818|     ~|10.48 | 9.91 |     ~|     ~|G3V                  |  56|   0
173 |HD 191022                          |PM*|20 05 40.4318091053 +48 34 00.527716221|     ~| 8.08 | 7.44 |     ~|     ~|G0                   |  36|   0
174 |HD 191649                          |PM*|20 08 42.9111548934 +50 35 10.737874221|     ~| 7.94 | 7.39 |     ~|     ~|G0                   |  36|   0
175 |HD 193216                          |PM*|20 16 54.5307576931 +50 16 43.483748130|     ~|     ~|     ~| 7.7  |     ~|G5                   |  40|   0
176 |* e Cyg                            |*  |20 01 21.5648482742 +50 06 16.891189660|     ~| 6.170| 5.048|     ~|     ~|G8III                |  62|   0
177 |HD 206078                          |PM*|21 37 10.4218106934 +62 18 15.275819480|     ~| 8.12 | 7.17 |     ~|     ~|G8III                |  35|   0
178 |BD+59 2407                         |PM*|21 39 16.1491127916 +60 17 01.796449735|     ~|     ~|     ~|10.0  |     ~|G2                   |  59|   0
