C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:13:31

spstring~'A' & nbref>=50
------------------------

Number of objects : 2484

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
128 |V* V465 Per                        |dS*|03 30 33.9887237613 +47 37 41.480398971|     ~| 9.06 | 8.83 |     ~|     ~|A6Vn                  |  58|   0
129 |V* V461 Per                        |dS*|03 24 19.1829524353 +49 13 16.521510213|     ~| 9.34 | 9.00 |     ~|     ~|A8V                   |  72|   0
130 |V* V376 Per                        |dS*|03 49 08.1062347277 +43 57 47.354185776| 6.290| 6.230| 5.970|     ~|     ~|A9IV                  |  79|   0
131 |HD 191781                          |s*b|20 09 50.5815085623 +45 24 10.485607388|10.1  |10.06 | 9.53 |     ~|     ~|ON9.7Iab              |  59|   0
132 |* 30 Cyg                           |V* |20 13 18.0527162012 +46 48 56.409650765|     ~| 4.911| 4.819|     ~|     ~|A5IIIn                |  62|   0
133 |V* KU Cyg                          |Al*|20 12 45.1081733782 +47 23 41.370993244|     ~|11.70 |11.04 |     ~|     ~|F4Iae+M0III           |  83|   0
134 |V* SW Cyg                          |Al*|20 06 57.9310468060 +46 17 58.147253224|     ~| 9.57 | 9.35 |     ~|     ~|A2                    | 151|   0
135 |HD 196379                          |*  |20 34 50.4035513201 +51 51 15.196461044|     ~| 6.494| 6.180|     ~|     ~|A9II                  |  50|   0
136 |HD 204613                          |SB*|21 27 43.0051874955 +57 19 18.960564661|     ~|     ~|     ~| 7.8  |     ~|G1IIIa:_CH1.5         |  95|   0
137 |* mu. Cep                          |s*r|21 43 30.4610574 +58 46 48.160181      | 8.85 | 6.43 | 4.08 | 1.98 | 0.22 |M2-Ia                 | 623|   1
138 |HD 216629                          |Ae*|22 53 15.6043627656 +62 08 45.000152794| 9.83 | 9.93 | 9.36 | 9.31 |     ~|B3IVe+A3              | 126|   0
139 |IRAS 23304+6147                    |pA*|23 32 44.7854376478 +62 03 49.083515796|     ~|15.36 |12.99 |12.23 |10.50 |G2Ia                  | 109|   0
140 |* 6 Cas                            |** |23 48 50.17052 +62 12 52.2577          |     ~|     ~|     ~| 6.60 |     ~|A2.5(I)+O9.8II        | 179|   0
141 |V* XX Cep                          |Al*|23 38 20.2850415119 +64 20 02.699227113|     ~| 9.47 | 9.18 |     ~|     ~|A7V                   | 151|   0
142 |HD 225094                          |s*b|00 03 25.7141331 +63 38 25.877987      | 6.01 | 6.56 | 6.22 | 5.90 | 5.67 |B2.9Iab               | 141|   0
143 |HD 225160                          |s*b|00 04 03.7942401494 +62 13 19.008096888| 7.74 | 8.46 | 8.19 |     ~|     ~|O8Iabf                | 112|   0
144 |V* V755 Cas                        |Al*|00 42 50.0624232901 +64 17 28.606619516| 8.04 | 7.919| 7.287|     ~|     ~|A1Ia                  |  68|   0
145 |V* VX Cas                          |Ae*|00 31 30.6816836826 +61 58 50.982831889|11.83 |11.59 |10.50 |11.19 |10.94 |A0Vep                 | 126|   0
146 |* kap Cas                          |s*b|00 32 59.9911963 +62 55 54.417374      | 3.50 | 4.30 | 4.16 | 4.02 | 3.96 |B1Ia                  | 446|   0
147 |HD 4841                            |Em*|00 51 25.9267706955 +63 46 52.208780565| 7.13 | 7.43 | 6.86 | 6.28 | 5.90 |B5Ia                  |  79|   0
148 |V* AQ Cas                          |Al*|01 19 10.3485542072 +62 23 48.387336876|     ~|10.84 |10.31 |     ~|     ~|A9                    |  55|   0
149 |V* V459 Cas                        |Al*|01 11 29.9133783181 +61 08 48.056142164|     ~|10.55 |10.36 |     ~|     ~|A2                    |  65|   0
150 |* del Cas                          |Al*|01 25 48.9514709 +60 14 07.022507      | 2.930| 2.810| 2.680| 2.53 | 2.44 |A5IV                  | 246|   0
151 |HD 9311                            |V* |01 33 14.0050093974 +60 41 11.173760398| 7.19 | 7.58 | 7.29 |     ~|     ~|B5Iab                 |  75|   0
152 |HD 9973                            |Em*|01 39 07.1682650401 +61 04 44.731217563| 8.51 | 7.741| 6.911|     ~|     ~|F5Iab                 |  72|   0
153 |V* AZ Cas                          |s*r|01 42 16.5135206867 +61 25 16.343171243|11.32 |10.94 | 9.22 |     ~|     ~|K5Iab-Ib              |  68|   0
154 |BD+60 339                          |s*b|01 46 23.7819674182 +61 15 29.717789687| 8.98 | 9.09 | 8.472|     ~|     ~|B6Iabe                |  52|   0
155 |HD 236928                          |*  |02 02 42.0926399205 +60 15 26.434612498|     ~|10.00 | 9.07 |     ~|     ~|A4Ib                  |  74|   0
156 |* 5 Per                            |s*b|02 11 29.1932220785 +57 38 43.963436391| 6.23 | 6.68 | 6.35 | 6.02 | 5.75 |B5Ia                  | 175|   0
157 |HD 12953                           |sg*|02 08 40.5789522644 +58 25 24.969707759| 6.28 | 6.29 | 5.68 | 5.09 | 4.59 |A1Ia                  | 183|   0
158 |HD 13476                           |*  |02 13 41.6106348614 +58 33 38.103912891| 7.26 | 7.04 | 6.43 | 5.89 | 5.40 |A2Iab                 | 127|   0
159 |HD 13744                           |*  |02 15 58.6970142978 +58 17 37.024898832| 8.51 | 8.27 | 7.64 |     ~|     ~|B9Iab                 |  66|   0
160 |V* V605 Cas                        |s*r|02 20 22.4633097592 +59 40 16.911006172|13.41 |10.80 | 8.36 | 6.42 | 4.85 |M2Iab                 |  59|   0
161 |V* T Per                           |s*r|02 19 21.8772655699 +58 57 40.351139759|13.40 |10.78 | 8.45 | 6.58 | 4.94 |M2Iab                 |  95|   0
162 |V* S Per                           |s*r|02 22 51.7103845023 +58 35 11.454759954|13.22 |10.55 | 7.90 |     ~|     ~|M4.5-7Iae             | 355|   0
163 |* 10 Per                           |s*b|02 25 16.0286810463 +56 36 35.357178267| 5.95 | 6.56 | 6.26 | 5.93 | 5.74 |B2Ia                  | 229|   0
164 |V* AD Per                          |s*r|02 20 29.0027235674 +56 59 35.243403712|12.70 |10.16 | 7.849|     ~| 7.111|M3Iab                 | 118|   1
165 |V* RS Per                          |s*r|02 22 24.2951350259 +57 06 34.100118658|12.37 |10.09 | 8.768|     ~|     ~|M3.5IabFe-1           | 126|   0
166 |V* FZ Per                          |s*r|02 20 59.6453535686 +57 09 29.965933600|12.75 |10.20 | 7.962|     ~| 6.719|M1Iab                 | 104|   0
167 |V* PR Per                          |s*r|02 21 42.4096612239 +57 51 46.148946906|12.84 |10.31 | 8.00 | 6.13 | 4.60 |M1-Iab-Ib             | 102|   0
168 |HD 14956                           |s*b|02 26 45.6957079560 +57 40 45.045880095| 7.63 | 7.92 | 7.20 | 6.56 | 6.05 |B1.5Ia                | 136|   0
169 |HD 15316                           |*  |02 29 58.5564922929 +57 49 14.567534968| 8.42 | 8.00 | 7.23 | 6.52 | 5.84 |A2Iab                 |  83|   0
170 |HD 15497                           |s*b|02 31 53.3756604215 +57 41 51.509402701| 7.73 | 7.80 | 7.02 | 6.31 | 5.70 |B7Ia                  | 125|   0
171 |HD 14433                           |sg*|02 21 55.4352553767 +57 14 34.495206459| 7.01 | 6.97 | 6.480| 5.79 | 6.733|A1Ia                  | 143|   0
172 |HD 14535                           |sg*|02 22 53.4973361403 +57 14 42.542536181| 8.28 | 8.16 | 7.455| 6.72 | 7.031|A2Ia                  |  89|   0
