C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:13:31

spstring~'A' & nbref>=50
------------------------

Number of objects : 2484

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
1776|V* EM Aqr                          |dS*|20 55 08.2724057163 -01 22 22.904694657|     ~| 6.811| 6.533|     ~|     ~|A9/F0V                |  72|   0
1777|* 10 Ser                           |PM*|15 28 38.2371445884 +01 50 31.488393145|     ~| 5.40 | 5.17 |     ~|     ~|A6III                 |  52|   0
1778|V* VY Ser                          |RR*|15 31 01.9269663492 +01 41 01.763045836|10.07 | 9.97 | 9.73 |     ~|     ~|A5/7Ib/II             | 169|   0
1779|HD 140122                          |** |15 42 01.4027369 +00 27 25.313416      |     ~| 7.45 | 7.24 |     ~|     ~|A1IV                  |  55|   0
1780|* sig Ser                          |PM*|16 22 04.3482463818 +01 01 44.548439598|     ~|     ~|     ~| 4.6  |     ~|A9Ib/II               | 134|   0
1781|* lam Oph                          |** |16 30 54.82314 +01 59 02.1209          |     ~| 3.94 | 3.90 |     ~|     ~|A1IV                  | 163|   0
1782|* 21 Oph                           |** |16 51 24.9285171 +01 12 57.410669      |     ~| 5.56 | 5.51 |     ~|     ~|A0V                   |  86|   0
1783|HD 156208                          |Al*|17 16 14.2606393919 +02 11 10.328463925| 6.57 | 6.41 | 6.18 | 5.98 |     ~|A1IV                  |  60|   0
1784|Wolf 672 A                         |WD*|17 18 35.1636102144 +01 56 53.205524371|     ~|     ~|     ~|14.63 |     ~|DA3.7                 |  74|   0
1785|HD 158837                          |SB*|17 31 21.3370214999 +02 43 28.243503418|     ~| 6.416| 5.580|     ~|     ~|G8III+A/F             |  55|   1
1786|HD 158352                          |PM*|17 28 49.6546046389 +00 19 50.248400762|     ~| 5.644| 5.412|     ~|     ~|A8Vp                  | 112|   0
1787|* gam Oph                          |PM*|17 47 53.5597327 +02 42 26.199985      | 3.83 | 3.80 | 3.75 | 3.71 | 3.71 |A1VnkA0mA0            | 360|   0
1788|BD+02 3375                         |PM*|17 39 45.5950264172 +02 24 59.607595293|10.18 |10.40 | 9.92 | 9.47 | 9.12 |A5                    | 184|   0
1789|HD 163624                          |*  |17 57 04.31216 +00 04 00.0067          |     ~| 6.081| 5.966|     ~|     ~|A3V                   |  96|   1
1790|HD 164258                          |a2*|18 00 15.6735787445 +00 37 46.108209438| 6.70 | 6.52 | 6.37 |     ~|     ~|A6VpSrCr              |  89|   0
1791|* 68 Oph                           |** |18 01 45.1988377 +01 18 18.277526      |     ~| 4.453| 4.429|     ~|     ~|A0.5Van               | 141|   0
1792|SH 2-68                            |PN |18 24 58.4294144035 +00 51 36.016896875|     ~|16.0  |16.5  |     ~|     ~|DAOZ.6                | 121|   1
1793|* d Ser                            |** |18 27 12.50775 +00 11 45.9912          |     ~|     ~|     ~|     ~|     ~|A0Vs+G:III            | 118|   0
1794|V* VV Ser                          |Ae*|18 28 47.8619658319 +00 08 39.924642619|12.99 |12.63 |11.80 |11.01 |10.24 |A5Ve                  | 229|   0
1795|Lan 18                             |WD*|18 47 39.0285643340 +01 57 35.440019889|11.68 |12.73 |12.94 |13.1  |12.3  |DA1.7                 |  72|   0
1796|HD 177178                          |PM*|19 03 32.2470370208 +01 49 07.437890520|     ~| 5.991| 5.815|     ~|     ~|A4IV/V                |  51|   0
1797|SH 2-71                            |PN |19 02 00.2850418489 +02 09 10.974558023|     ~|14.69 |14.00 |13.66 |     ~|A7V-F0V               | 126|   0
1798|HD 179821                          |pA*|19 13 58.6083165753 +00 07 31.934676028|10.81 | 9.694| 8.19 |     ~|     ~|G4_0-Ia               | 221|   0
1799|* c Aql                            |dS*|19 29 00.9870438377 +01 57 01.618441082|     ~| 5.865| 5.783|     ~|     ~|A0IVp                 | 164|   0
1800|* eta Aql                          |cC*|19 52 28.3677478 +01 00 20.369619      | 5.12 | 4.61 | 3.80 |     ~| 3.030|F6Iab+B9.8V           | 638|   0
1801|V* V341 Aql                        |RR*|20 32 31.5583800810 +00 35 07.048561824|     ~|11.0  |10.89 |10.8  |     ~|A9.5                  | 104|   0
1802|SN 2002ha                          |SN*|20 47 18.58 +00 18 45.6                |     ~|     ~|17.3  |     ~|     ~|SNIa                  |  58|   1
1803|* eps Ser                          |PM*|15 50 48.9662218 +04 28 39.831153      |     ~| 3.844| 3.693|     ~|     ~|kA2hA5mA7V            | 181|   0
1804|* l Her                            |a2*|16 47 46.4194225456 +05 14 48.278938492| 5.20 | 5.22 | 5.24 |     ~|     ~|A1VpSi                | 118|   0
1805|IC 4665 27                         |*  |17 43 55.8394935898 +05 24 48.242965097|     ~|10.46 |10.21 |     ~|     ~|A3V                   |  67|   0
1806|Ross 137                           |WD*|18 27 13.0872422364 +04 03 46.792534528|13.383|13.981|13.889|13.928|13.958|DA+DC                 |  71|   0
1807|HD 171586                          |a2*|18 35 36.4931415510 +04 56 09.559014883| 6.52 | 6.53 | 6.46 |     ~|     ~|A0VpSrSi              |  73|   0
1808|HD 173495                          |** |18 45 28.36421 +05 30 00.4441          |     ~| 5.87 | 5.83 |     ~|     ~|A1V+A2V               |  90|   0
1809|* tet02 Ser                        |PM*|18 56 14.6408535861 +04 12 07.657485080|     ~| 5.18 | 4.98 |     ~|     ~|A5Vn                  |  64|   0
1810|HD 175543                          |** |18 55 48.6323936285 +03 26 59.196287995|10.380| 8.880| 7.610|     ~|     ~|A3IV                  |  61|   0
1811|* tet01 Ser                        |PM*|18 56 13.1878925839 +04 12 12.977820598|     ~| 4.74 | 4.57 |     ~|     ~|A5V                   | 117|   0
1812|HD 178129                          |s*b|19 07 18.1513850073 +03 26 34.831985855| 7.63 | 7.85 | 7.45 |     ~|     ~|B3Ia                  |  50|   0
1813|V* FN Aql                          |cC*|19 12 47.3150076412 +03 33 26.704507437|     ~| 9.58 | 7.96 |     ~|     ~|F8/G0Iab/b            | 165|   0
1814|SS 433                             |HXB|19 11 49.5645897701 +04 58 57.824087535|     ~|16.3  |13.0  |     ~|     ~|A7Ib:                 |1940|   3
1815|HD 140775                          |V*?|15 45 23.4783924729 +05 26 50.349584866| 5.65 | 5.62 | 5.58 | 5.54 | 5.55 |A0V                   |  71|   0
1816|* o Her                            |SB*|16 24 10.8287234860 +06 56 53.556182331|     ~| 5.828| 5.819|     ~|     ~|A1III                 |  70|   0
1817|* k Her                            |PM*|16 50 19.3808901705 +07 14 51.660479016|     ~| 5.579| 5.469|     ~|     ~|A3m                   |  59|   0
1818|SN 2002er                          |SN*|17 11 29.88 +07 59 44.8                |     ~|14.25 |     ~|     ~|     ~|SNIa                  | 121|   1
1819|HD 157978                          |SB*|17 26 19.0043289489 +07 35 44.216167503| 6.91 | 6.64 | 6.04 | 5.43 | 5.00 |A1IVs+A2Vs+G0III      |  79|   0
1820|V* RV Oph                          |Al*|17 34 34.9475480152 +07 14 49.208255600|     ~| 9.89 | 9.66 |     ~|     ~|A2/3V                 |  61|   0
1821|SN 1971L                           |SN*|17 32 26.0 +07 04 00                   |     ~|13.00 |12.33 |     ~|     ~|SNIa                  |  61|   1
1822|HD 161261                          |Be*|17 44 15.7359965923 +05 42 51.492694039| 8.19 | 8.32 | 8.26 |     ~|     ~|kA0hB8V_sh            |  74|   0
1823|HD 190073                          |Ae*|20 03 02.5098091524 +05 44 16.658081203| 7.91 | 7.86 | 7.73 |     ~| 7.65 |A2IVe                 | 228|   0
1824|SN 1999ac                          |SN*|16 07 15.01 +07 58 20.4                |     ~|14.34 |     ~|     ~|     ~|SNIap                 | 122|   1
1825|EGGR 327                           |WD*|16 27 53.4891069739 +09 12 16.023160179|16.008|16.475|16.117|15.899|15.683|DA6.9                 |  88|   0
1826|HD 153914                          |** |17 01 58.97648 +08 27 02.3970          |     ~| 6.46 | 6.39 |     ~|     ~|A4V                   |  53|   0
1827|* 72 Oph                           |PM*|18 07 20.9839294 +09 33 49.850100      | 3.95 | 3.85 | 3.73 | 3.59 | 3.54 |A5V                   | 131|   0
1828|V* V451 Oph                        |Al*|18 29 14.0426408049 +10 53 31.427616263|     ~| 7.95 | 7.91 |     ~|     ~|A0IV                  | 154|   0
1829|V* KO Aql                          |Al*|18 47 10.7414847866 +10 45 49.248230525|     ~| 8.51 | 8.40 |     ~|     ~|A0V                   | 106|   0
1830|PSR B1855+09                       |Psr|18 57 36.39161 +09 43 17.2322          |     ~|     ~|     ~|     ~|     ~|DA                    | 479|   1
1831|HD 178717                          |SB*|19 09 22.0092372317 +10 14 28.243016839|     ~| 9.05 | 7.14 |     ~|     ~|K3.5III:Ba4+          | 106|   0
1832|4U 1907+09                         |HXB|19 09 37.9 +09 49 49                   |     ~|19.41 |16.35 |14.40 |12.53 |O8.5Iab               | 309|   1
1833|Parsamian 21                       |FU*|19 29 00.849 +09 38 43.40              |     ~|15.18 |14.07 |13.93 |     ~|F5Iabe                |  81|   1
1834|* alf Aql                          |dS*|19 50 46.99855 +08 52 05.9563          | 1.07 | 0.98 | 0.76 | 0.62 | 0.49 |A7Vn                  | 821|   0
1835|* ups Aql                          |PM*|19 45 39.9473195457 +07 36 47.362634532| 6.18 | 6.09 | 5.91 |     ~|     ~|A3IV                  |  55|   0
1836|HD 189711                          |Pe*|20 01 03.7891766338 +09 30 51.154617612|12.71 |10.43 | 8.37 | 7.02 | 5.96 |C4,3_CH3:_Ba5         |  66|   0
1837|* 14 Del                           |SB*|20 49 48.2603397263 +07 51 51.063962300|     ~| 6.329| 6.318|     ~|     ~|A1Vs                  |  50|   0
1838|V* LV Ser                          |a2*|15 11 34.3640243940 +08 31 01.409202320|     ~| 7.68 | 7.54 |     ~|     ~|A3p                   |  67|   0
1839|V* AP Ser                          |RR*|15 14 00.9212964395 +09 58 51.854966547|     ~|11.41 |11.27 |11.21 |     ~|A9.5                  |  66|   0
1840|* 16 Ser                           |SB*|15 36 29.5749786777 +10 00 36.557426427|     ~| 6.217| 5.253|     ~|     ~|K0III:CN1Ba0.7Sr2     | 197|   0
1841|V* DY Her                          |dS*|16 31 17.9533164900 +11 59 52.454408185|     ~|10.80 |10.50 |     ~|     ~|A9.7:III              | 127|   0
1842|HD 151862                          |*  |16 49 34.6576921241 +13 15 40.091039470|     ~| 5.94 | 5.91 |     ~|     ~|A1V                   |  51|   0
1843|* 33 Oph                           |V* |17 03 39.3020000100 +13 36 19.254049852|     ~| 5.913| 5.908|     ~|     ~|A1V                   |  57|   0
1844|* 60 Her                           |PM*|17 05 22.6906587508 +12 44 26.981639397|     ~| 5.001| 4.871|     ~|     ~|A3V                   | 116|   0
1845|* alf Oph                          |** |17 34 56.06945 +12 33 36.1346          | 2.32 | 2.22 | 2.07 | 1.93 | 1.85 |A5IVnn                | 443|   0
1846|V* RX Her                          |Al*|18 30 39.2602554603 +12 36 40.324578754|     ~| 7.35 | 7.29 |     ~|     ~|A0Vv                  | 174|   0
1847|* ome02 Aql                        |*  |19 19 53.0671299568 +11 32 05.872177261|     ~| 6.097| 6.012|     ~|     ~|A2V                   |  52|   0
1848|IRC +10420                         |pA*|19 26 48.0981288433 +11 21 16.756524951|     ~|13.98 |11.66 |     ~|     ~|F8Ia+e                | 454|   0
1849|HD 183915                          |SB*|19 31 25.5039952121 +11 37 40.615213121|     ~| 8.65 | 7.29 |     ~|     ~|K0III:Ba3.5           |  69|   0
1850|* pi. Aql                          |** |19 48 42.0576531 +11 48 57.217672      | 6.520| 6.230| 5.740| 6.58 |     ~|G8III+A3V             |  66|   0
1851|* phi Aql                          |SB*|19 56 14.2518307537 +11 25 25.393114620|     ~| 5.283| 5.278|     ~|     ~|A1IV                  | 125|   0
1852|HD 191515                          |Al*|20 09 59.5683042343 +10 20 59.010894808|     ~| 9.14 | 9.14 |     ~|     ~|A0V                   |  96|   0
1853|* 1 Del                            |** |20 30 17.96064 +10 53 45.3233          | 5.94 | 6.05 | 6.08 |     ~|     ~|A1:III                | 102|   0
1854|SN 2004eo                          |SN*|20 32 54.19 +09 55 42.7                |     ~|15.07 |17.8  |     ~|     ~|SNIa                  | 169|   1
1855|* chi Ser                          |a2*|15 41 47.4144147194 +12 50 51.093592464| 5.42 | 5.37 | 5.33 | 5.28 | 5.32 |A2VpMnEu(Sr)          | 174|   0
1856|V* NN Ser                          |No*|15 52 56.1202658103 +12 54 44.432043501|     ~|     ~|16.51 |     ~|     ~|DAO1+M4               | 233|   0
1857|EGGR 117                           |WD*|16 11 25.6063415264 +13 22 17.940004792|     ~|15.33 |     ~|15.2  |     ~|DA5.4                 |  65|   0
1858|* ome Her                          |a2*|16 25 24.9552430446 +14 01 59.755120883| 4.53 | 4.57 | 4.58 | 4.51 | 4.55 |A2VpCrSr              | 222|   0
1859|V* V773 Her                        |a2*|16 36 42.9343498292 +15 29 50.806404871|     ~| 6.296| 6.355|     ~|     ~|A2VpSiSrCr            |  97|   0
1860|HD 151203                          |PM*|16 45 22.5174908197 +15 44 43.007685386|     ~| 7.232| 5.619|     ~|     ~|M3IIIab               |  51|   0
1861|V* V451 Her                        |a2*|17 01 33.0515697505 +14 56 58.988327792| 6.39 | 6.35 | 6.31 |     ~|     ~|A0VpSiSrCrEu          | 165|   0
1862|SN 1990O                           |SN*|17 15 35.92 +16 19 25.8                |     ~|16.59 |16.22 |     ~|     ~|SNIa                  |  70|   1
1863|V* V624 Her                        |Al*|17 44 17.2470660481 +14 24 36.243720020|     ~| 6.398| 6.194|     ~|     ~|A3m                   | 151|   0
1864|HIP 89023                          |** |18 10 08.72793 +16 28 35.7059          | 6.930| 6.680| 6.100|     ~|     ~|G8III+B9.5/A0:        |  68|   0
1865|HD 166095                          |*  |18 08 33.7359913577 +14 17 04.981426100|     ~| 6.520| 6.323|     ~|     ~|A5m                   |  51|   0
1866|SN 1998V                           |SN*|18 22 37.40 +15 42 08.4                |     ~|15.07 |     ~|     ~|     ~|SNIa                  |  59|   1
1867|V* KP Aql                          |Al*|19 02 29.9465669396 +15 48 01.097621870|     ~| 9.81 | 9.39 |     ~|     ~|A3                    |  57|   0
1868|* 10 Aql                           |a2*|18 58 46.9239770705 +13 54 23.944546333| 6.23 | 6.14 | 5.89 |     ~|     ~|A7VpSrEu_Ksn          | 268|   0
1869|* zet Aql                          |PM*|19 05 24.6080155 +13 51 48.518212      | 2.99 | 3.00 | 2.99 | 2.98 | 2.98 |A0IV-Vnn              | 322|   0
1870|HD 179218                          |Ae*|19 11 11.2540715594 +15 47 15.632212730| 7.55 | 7.476| 7.39 | 7.25 | 7.21 |A0Ve                  | 221|   0
1871|V* V1452 Aql                       |Ce*|19 20 40.8463108523 +14 25 08.721826023|10.75 | 9.39 | 7.80 | 6.54 | 5.60 |F1Ia                  |  53|   0
1872|GD 219                             |WD*|19 21 40.4180173962 +14 40 41.402969332|     ~|13.07 |13.01 |13.3  |     ~|DA3.3                 |  66|   0
1873|HD 193472                          |*  |20 20 00.1890211377 +13 32 53.113698113|     ~| 6.251| 5.938|     ~|     ~|A5m                   |  53|   0
1874|* eta Del                          |PM*|20 33 57.0509113955 +13 01 38.031049609|     ~| 5.453| 5.380|     ~|     ~|A3IVs                 |  63|   0
1875|* iot Del                          |SB*|20 37 49.1196813001 +11 22 39.621398064|     ~| 5.466| 5.418|     ~|     ~|A1IV                  |  97|   0
1876|V* DX Del                          |RR*|20 47 28.3556417515 +12 27 50.682381539| 9.97 | 9.79 | 9.52 |     ~|     ~|A7IIIv                | 159|   0
1877|HD 137569                          |pA*|15 26 20.8167463866 +14 41 36.332336994|     ~| 7.86 | 7.91 |     ~|     ~|B9Iab:p               |  94|   0
1878|* tau04 Ser                        |LP*|15 36 28.1823639850 +15 06 05.189204744| 8.64 | 7.64 | 6.25 |     ~|     ~|M5IIIa                |  97|   0
1879|* bet Ser                          |PM*|15 46 11.2543458 +15 25 18.595866      | 3.81 | 3.73 | 3.67 | 3.61 | 3.58 |A2IV                  | 166|   0
1880|* q Her                            |*  |16 11 28.7384316179 +16 39 56.488599057|     ~| 6.099| 6.082|     ~|     ~|A0V                   |  61|   0
1881|HD 149632                          |SB*|16 35 26.2878957260 +17 03 26.429806648|     ~| 6.456| 6.403|     ~|     ~|A2V                   |  50|   0
1882|V* TT Her                          |bL*|16 54 22.9664433766 +16 50 13.123417900|     ~| 9.97 | 9.68 |     ~|     ~|A2V                   |  95|   0
1883|HD 161833                          |*  |17 47 08.04670 +17 41 49.2493          | 5.650| 5.640| 5.610|     ~|     ~|A1V                   |  70|   1
1884|V* UX Her                          |Al*|17 54 07.8540731444 +16 56 37.842560109|     ~| 9.12 | 8.97 |     ~|     ~|A0V                   | 116|   0
1885|SN 1998bp                          |SN*|17 54 50.74 +18 19 50.5                |     ~|15.73 |     ~|     ~|     ~|SNIa                  |  62|   1
1886|* 111 Her                          |PM*|18 47 01.2324617275 +18 10 53.438109142| 4.56 | 4.49 | 4.36 | 4.19 | 4.13 |A5III                 | 148|   0
1887|V* V889 Aql                        |Al*|19 18 49.8403040483 +16 15 00.447270744|     ~| 8.77 | 8.58 |     ~|     ~|A                     |  53|   1
1888|HD 183143                          |s*b|19 27 26.5636908636 +18 17 45.191198361| 8.25 | 8.08 | 6.86 | 5.74 | 4.79 |B6Ia                  | 412|   0
1889|* 2 Sge                            |SB*|19 24 22.0716515921 +16 56 15.795031241|     ~| 6.320| 6.247|     ~|     ~|A2III-IV              |  72|   0
1890|* bet Sge                          |*  |19 41 02.9395379214 +17 28 33.750643683| 6.33 | 5.43 | 4.38 | 3.66 | 3.16 |G8IIIaCN0.5           | 150|   0
1891|HD 190323                          |*  |20 03 49.6141348780 +14 58 58.742758876| 8.54 | 8.03 | 7.03 | 6.33 | 5.88 |F8Ia                  |  54|   0
1892|* rho Aql                          |PM*|20 14 16.6190578195 +15 11 51.374752540|     ~| 5.006| 4.946|     ~|     ~|A1Va                  | 117|   0
1893|* zet Del                          |*  |20 35 18.5356347 +14 40 27.167509      |     ~| 4.738| 4.647|     ~|     ~|A3Va                  |  71|   0
1894|* del Del                          |dS*|20 43 27.5333833 +15 04 28.477302      |     ~| 4.701| 4.417|     ~|     ~|kA7hF1VmF1pSrEuCr:    | 208|   0
1895|* tau07 Ser                        |** |15 41 54.7166994792 +18 27 50.530826516|     ~| 5.994| 5.792|     ~| 5.61 |A8Vam                 |  78|   0
1896|* kap Ser                          |PM*|15 48 44.3767639 +18 08 29.634222      | 7.66 | 5.71 | 4.09 | 2.84 | 1.86 |M0.5IIIab             | 113|   0
1897|V* AO Ser                          |Al*|15 58 18.4102360873 +17 16 10.005595510|     ~|11.26 |11.04 |     ~|     ~|A2                    |  54|   0
1898|SN 1991M                           |SN*|15 58 34.82 +17 27 28.7                |     ~|     ~|14.55 |     ~|     ~|SNIa                  |  60|   1
1899|* gam Her                          |** |16 21 55.2144050 +19 09 11.261793      | 4.22 | 4.03 | 3.76 | 3.47 | 3.33 |A9IIIbn               | 166|   0
1900|V* VX Her                          |RR*|16 30 40.8026759148 +18 22 00.571479735|     ~|10.74 |11.31 |     ~|     ~|A4-F4                 | 142|   0
1901|EGGR 197                           |WD*|16 57 09.8598913902 +21 26 48.662290058|     ~|14.32 |     ~|14.1  |     ~|DA5.4                 |  78|   0
1902|* 95 Her                           |** |18 01 30.40812 +21 35 44.8084          |     ~|     ~|     ~|     ~|     ~|A5IIIn                |  50|   0
1903|* 109 Her                          |** |18 23 41.8896673559 +21 46 11.085401616| 6.18 | 5.02 | 3.84 | 2.99 | 2.39 |K2IIIab               | 166|   0
1904|V* V535 Her                        |a2*|18 45 35.6181431048 +21 59 04.845813798|     ~| 6.524| 6.522|     ~|     ~|A1VpSiHgMn            | 145|   0
1905|HD 349425                          |Al*|18 50 00.3000285255 +20 43 16.509748939|     ~|10.08 | 9.72 | 9.77 |     ~|A5                    |  64|   0
1906|HD 182761                          |*  |19 25 22.3916545864 +20 16 18.213014023|     ~| 6.278| 6.287|     ~|     ~|A0V                   |  55|   0
1907|* 5 Vul                            |*  |19 26 13.2462609696 +20 05 51.839397272|     ~| 5.585| 5.591|     ~|     ~|A0V                   |  72|   0
1908|HD 185859                          |Em*|19 40 28.3246756731 +20 28 37.473468460| 6.290| 6.890| 6.520| 6.18 | 5.92 |B0.5Iae               | 125|   0
1909|V* U Vul                           |cC*|19 36 37.7280897633 +20 19 58.569232928|     ~| 8.368| 7.162|     ~| 5.556|F8Iab                 | 209|   0
1910|* zet Sge                          |** |19 48 58.660 +19 08 31.35              |     ~| 5.105| 5.034| 6.62 |     ~|A3V                   | 150|   0
1911|* 9 Sge                            |s*b|19 52 21.7651155105 +18 40 18.753390402| 5.32 | 6.24 | 6.23 |     ~|     ~|O7.5Iabf              | 275|   1
1912|V* WZ Sge                          |DN*|20 07 36.5036203067 +17 42 14.733657651|     ~|15.30 |15.20 |     ~|     ~|DAepv                 | 892|   0
1913|HD 195481                          |** |20 31 06.1146616 +15 48 27.468490      |     ~| 6.965| 6.844|     ~|     ~|A2V                   |  50|   0
1914|HD 134064                          |** |15 07 20.3685514949 +18 26 30.569551268|     ~| 6.098| 6.029|     ~|     ~|A1Vnn                 |  65|   1
1915|* iot Ser                          |** |15 41 33.0546906 +19 40 13.437985      |     ~| 4.563| 4.505|     ~|     ~|A1V                   | 182|   0
1916|SN 2006bt                          |SN*|15 56 33.81 +20 03 07.2                |     ~|     ~|17.5  |     ~|     ~|SNIap                 |  78|   1
1917|* bet Her                          |SB*|16 30 13.1995466 +21 29 22.600778      | 4.39 | 3.70 | 2.77 | 2.13 | 1.65 |G7IIIaFe-0.5          | 306|   0
1918|* 63 Her                           |dS*|17 11 03.1634935860 +24 14 15.701135810| 6.510| 6.410| 6.200|     ~|     ~|A8V                   |  88|   0
1919|* del Her                          |SB*|17 15 01.91058 +24 50 21.1451          | 3.29 | 3.21 | 3.13 | 3.08 | 3.05 |A1IVn                 | 184|   0
1920|* 73 Her                           |PM*|17 24 06.5871173253 +22 57 37.014300862| 5.980| 5.930| 5.720|     ~|     ~|A7V                   |  65|   0
1921|* 79 Her                           |** |17 37 31.1117271215 +24 18 36.013169984| 5.930| 5.900| 5.760|     ~|     ~|A2Vn                  |  52|   0
1922|* 105 Her                          |SB*|18 19 10.6808835737 +24 26 45.805459327|     ~| 6.807| 5.279|     ~|     ~|K3III:Ba0.5           |  72|   0
1923|HD 172743                          |** |18 40 59.6320491224 +24 49 30.384220142|     ~| 7.97 | 7.63 |     ~|     ~|kA5hA7mF4             |  53|   1
1924|* 113 Her                          |SB*|18 54 44.8822641868 +22 38 42.278040695| 5.88 | 5.38 | 4.60 | 3.96 | 3.50 |G8III+:+A0.5          |  89|   0
1925|V* WW Vul                          |Ae*|19 25 58.7494596284 +21 12 31.333220807|11.46 |10.99 |10.25 |10.38 |10.12 |A2IVe                 | 214|   0
1926|V* NS Vul                          |LP?|19 52 30.0760 +22 27 14.376            | 8.96 | 8.68 | 7.76 | 5.07 | 2.33 |A2                    |  58|   0
1927|HD 190066                          |s*b|20 02 22.1028925356 +22 09 05.248977211| 6.07 | 6.78 | 6.60 | 6.43 | 6.36 |B1Iab                 |  71|   0
1928|Hen 1-5                            |pA*|20 11 56.06832 +20 20 04.4916          |11.41 |10.66 | 9.45 |     ~|     ~|G8/K0Iae              | 489|   1
1929|V* W Del                           |Al*|20 37 40.0857987034 +18 17 03.752794100|     ~| 9.89 | 9.81 |     ~|     ~|A0                    | 139|   0
1930|HD 136138                          |SB*|15 18 24.5070958257 +20 34 21.963943235|     ~| 6.655| 5.686|     ~|     ~|G8IIIa                |  73|   0
1931|* pi. Ser                          |*  |16 02 17.6918382424 +22 48 16.020768024|     ~| 4.887| 4.817|     ~|     ~|A3V                   |  79|   0
1932|* 51 Her                           |*  |16 51 45.2618238652 +24 39 23.163077481|     ~| 6.282| 5.029|     ~|     ~|K0.5IIIaCa0.5         |  75|   0
1933|HD 161817                          |HB*|17 46 40.6294905277 +25 44 56.936928236| 7.23 | 7.13 | 6.97 |     ~|     ~|sdA2                  | 256|   0
1934|SN 2000cn                          |SN*|17 57 40.42 +27 49 58.1                |     ~|16.82 |     ~|     ~|     ~|SNIa                  |  60|   1
1935|* 100 Her A                        |** |18 07 49.5672088919 +26 06 04.537521261|     ~| 5.966| 5.819|     ~|     ~|A3V                   |  60|   0
1936|* 100 Her B                        |*  |18 07 49.5082362043 +26 05 50.360347877|     ~| 5.92 | 5.79 |     ~|     ~|A3V                   |  53|   0
1937|HD 169718                          |** |18 24 58.46144 +27 23 41.2129          | 6.340| 6.320| 6.260|     ~|     ~|A2Vn                  |  72|   0
1938|V* BN Vul                          |RR*|19 27 56.0611781164 +24 20 50.469413784|     ~|11.62 |11.13 |     ~|     ~|kA8hF4                |  90|   0
1939|V* Z Vul                           |Al*|19 21 39.1060131049 +25 34 29.438979012| 6.96 | 7.40 | 7.33 |     ~|     ~|B3/5+A3IV?            | 197|   0
1940|HD 187982                          |V* |19 52 01.5937220881 +24 59 31.772613798| 6.41 | 6.28 | 5.57 |     ~|     ~|A2Ia                  | 104|   0
1941|HD 186745                          |sg*|19 45 24.3491892184 +23 56 34.375632222| 8.00 | 7.96 | 7.03 |     ~|     ~|B8Ia                  |  93|   0
1942|HD 186841                          |s*b|19 45 54.1346203334 +24 05 46.998850287| 8.55 | 8.86 | 8.01 | 7.23 | 6.71 |B1Ia                  |  57|   0
1943|V* NR Vul                          |s*r|19 50 11.9279772343 +24 55 24.177460007|     ~|12.41 | 9.36 | 6.60 | 4.49 |M1Ia:                 |  71|   0
1944|V* PT Vul                          |WD*|19 52 27.8765609250 +25 09 29.176771316|     ~|15.13 |     ~|15.1  |     ~|DA4.2                 |  64|   0
1945|M 27                               |PN |19 59 36.3632092274 +22 43 16.312364964|     ~|13.749|14.089|14.247|14.405|DAO.6                 | 568|   0
1946|V* PU Vul                          |No*|20 21 13.3112218215 +21 34 18.693825946|     ~|11.13 |10.87 |     ~|     ~|A4II-F8Iab+M6IIIe     | 294|   0
1947|V* BP Vul                          |Al*|20 25 33.2484429201 +21 02 17.948018104|     ~|10.21 | 9.95 |     ~|     ~|A7                    |  68|   0
1948|* 29 Vul                           |PM*|20 38 31.3290367573 +21 12 04.376310503| 4.73 | 4.80 | 4.82 | 4.79 | 4.83 |A0Va(_sh)             | 118|   0
1949|* gam CrB                          |dS*|15 42 44.56551 +26 17 44.2847          |     ~|     ~|     ~|     ~|     ~|A0V                   | 199|   0
1950|* eps CrB                          |PM*|15 57 35.2514673 +26 52 40.363564      | 6.650| 5.360| 4.130| 3.27 | 2.64 |K2IIIab               | 243|   1
1951|PN A66 39                          |PN |16 27 33.7200850209 +27 54 33.472758646|     ~|15.27 |15.60 |     ~|     ~|DAO.70                | 118|   0
1952|* 108 Her                          |SB*|18 20 56.9701845131 +29 51 32.120410658|     ~| 5.84 | 5.63 |     ~| 5.37 |kA3mA7+A9V            |  87|   0
1953|HD 169981                          |SB*|18 25 58.7870959144 +29 49 44.146965856| 5.99 | 5.90 | 5.83 | 5.75 | 5.71 |A2IV                  |  66|   0
1954|Ross 711                           |SB*|18 35 19.1686791536 +28 41 55.413970670|     ~|11.83 |     ~|11.2  |     ~|A8                    |  86|   0
1955|V* PY Vul                          |WD*|19 37 13.7502254298 +27 43 18.736648968|     ~|13.14 |     ~|12.7  |     ~|DA4.0                 | 116|   0
1956|V* SV Vul                          |cC*|19 51 30.9059608126 +27 27 36.835645654| 8.65 | 7.86 | 6.74 |     ~| 5.703|F8Ia                  | 398|   0
1957|V* X Vul                           |cC*|19 57 28.6055727685 +26 33 23.281913956|     ~|10.16 | 8.87 |     ~| 7.147|F8Ia                  | 150|   0
