C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
69  |V* V645 Cyg                        |Ae*|21 39 58.2775729406 +50 14 21.002745087|     ~|14.23 |13.10 |13.82 |     ~|O6/9eq                             | 255|   0
70  |BD+49 3591                         |** |21 40 23.0828134096 +50 31 40.519150481| 9.71 |10.12 | 9.75 |     ~|     ~|O7                                 |  16|   0
71  |HD 210809                          |s*b|22 11 38.6004905633 +52 25 47.950552363| 6.7  | 7.61 | 7.56 |     ~|     ~|O9Iab                              | 195|   0
72  |HD 218915                          |s*b|23 11 06.9480376287 +53 03 29.651927910| 6.32 | 7.22 | 7.20 |     ~|     ~|O9.2Iab                            | 184|   1
73  |V* DZ Cas                          |bL*|23 39 49.94 +55 52 55.8                |     ~|     ~|     ~|     ~|     ~|AoV                                |  34|   0
74  |M 76                               |PN |01 42 19.6604707683 +51 34 31.553132974|     ~|     ~|17.48 |     ~|17.69 |DOZ                                | 358|   2
75  |HD 191978                          |*  |20 10 58.2801550674 +41 21 09.922990071| 7.38 | 8.15 | 8.03 |     ~|     ~|O8Vz                               |  62|   0
76  |LS III +41 14                      |*  |20 17 05.5137486082 +41 57 46.857799956|11.11 |11.2  |11.0  |     ~|     ~|O9.5V(n)                           |  13|   0
77  |HD 228759                          |*  |20 17 07.5344407123 +41 57 26.471401448| 9.7  |10.06 | 9.48 |     ~|     ~|O6.5V(n)((f))z                     |  21|   0
78  |HD 193117                          |*  |20 16 59.8874563695 +40 50 37.380775308| 8.89 | 9.26 | 8.79 |     ~|     ~|O9.5II                             |  31|   0
79  |HD 228827A                         |*  |20 18 03.6076266072 +41 22 14.740770168|     ~|10.57 | 9.521| 9.16 |     ~|OB                                 |  10|   0
80  |HD 193322A                         |** |20 18 06.9877288640 +40 43 55.494731271|     ~| 6.004| 5.958|     ~|     ~|O9IV(n)                            |  15|   0
81  |HD 193322                          |** |20 18 06.98820 +40 43 55.5001          | 5.17 | 5.94 | 5.84 | 5.69 | 5.68 |O9IV(n)+B1.5V                      | 266|   0
82  |V* V2011 Cyg                       |SB*|20 12 33.1205906584 +40 16 05.442931142| 7.32 | 7.85 | 7.55 |     ~|     ~|O4.5V(n)((f))                      | 195|   0
83  |RX J2013.1+4002                    |WD*|20 13 09.3685301695 +40 02 24.240184767|     ~|     ~|14.6  |     ~|     ~|DAO+M2/3e                          |  87|   1
84  |BD+45 3216                         |** |20 33 50.350 +45 39 41.11              | 8.89 | 9.47 | 9.18 |     ~|     ~|O8                                 |  39|   0
85  |HD 195592                          |s*b|20 30 34.9690436039 +44 18 54.858025184| 7.75 | 7.95 | 7.08 | 6.29 | 5.60 |O9.7Ia                             | 197|   1
86  |BD+43 3654                         |s*b|20 33 36.0795380204 +43 59 07.362541702|     ~|11.24 |10.06 |     ~|     ~|O4If                               |  50|   0
87  |BD+45 3260                         |** |20 45 35.2801013727 +46 21 02.056320516| 9.07 | 9.54 | 9.14 |     ~|     ~|O8.5V                              |  39|   0
88  |LS III +47 24                      |Em*|21 03 08.1642566065 +47 14 15.316466957|11.87 |12.40 |11.64 |     ~|     ~|OB-                                |  10|   0
89  |EM* AS 459                         |Em*|21 09 03.0979514459 +49 05 43.943766514|11.73 |12.13 |11.36 |     ~|     ~|OB+e                               |  13|   0
90  |[D75b] Em* 21-021                  |PN |21 29 58.4712776885 +51 04 00.323547316|     ~|15.66 |14.20 |13.89 |     ~|O7(f)/[WC11]                       | 227|   0
91  |HD 235673                          |*  |21 57 37.7936006936 +52 49 14.158673205| 8.58 | 9.30 | 9.16 |     ~|     ~|O6.5V                              |  47|   0
92  |BD+53 2843                         |*  |22 18 45.8617810048 +54 16 19.640305718| 8.97 | 9.62 | 9.47 |     ~|     ~|O8III                              |  28|   0
93  |BD+53 2790                         |HXB|22 07 56.2368407539 +54 31 06.405811141| 9.4  |10.11 | 9.84 | 9.64 | 9.43 |O9.5Vep                            | 174|   0
94  |LS III +55 37                      |*  |22 18 59.8746238264 +56 07 18.837019930|10.76 |11.0  |10.6  |     ~|     ~|O7V                                |  16|   0
95  |LS III +55 40                      |*  |22 19 53.6103072422 +56 09 39.152425826|12.32 |12.72 |12.08 |     ~|     ~|O9V                                |  13|   0
96  |LS III +55 45                      |*  |22 20 21.7734880114 +56 08 52.339435518|10.79 |11.1  |10.6  |     ~|     ~|O7IV((f))                          |  13|   0
97  |Hilt 1118                          |*  |22 23 17.4200337707 +55 38 02.194404086| 9.83 |10.49 |10.30 |     ~|     ~|O6.5Vnn((f))                       |  16|   0
98  |HD 235825                          |*  |22 23 28.7248279078 +55 15 06.459171251| 8.79 | 9.52 | 9.28 |     ~|     ~|O9V                                |  34|   0
99  |BD+54 2761                         |Em*|22 23 43.2935915854 +55 42 00.925896893| 9.64 |10.32 |10.08 |     ~|     ~|O6III                              |  28|   0
100 |BD+54 2766                         |*  |22 24 22.0209870421 +55 39 48.788206403| 9.78 |10.33 |10.03 |     ~|     ~|O8                                 |  11|   0
101 |HD 211853                          |WR*|22 18 45.6058273717 +56 07 33.896665584| 8.84 | 9.39 | 9.00 |     ~|     ~|WN6o+O6I                           | 260|   0
102 |EM* AS 491                         |Em*|22 28 30.9860672735 +56 00 54.732785073|     ~|11.65 |11.28 |     ~|     ~|O5                                 |  10|   0
103 |LS III +55 58                      |*  |22 22 50.3658408569 +55 51 38.441802528|12.09 |12.54 |12.14 |     ~|     ~|O6                                 |  11|   0
104 |LS III +55 59                      |*  |22 22 51.6721389154 +55 52 30.829668785|11.61 |12.05 |11.59 |     ~|     ~|OB-                                |  14|   0
105 |V* OT Lac                          |EB*|22 36 44.7233450450 +56 44 07.336461232|     ~|11.60 |11.28 |     ~|     ~|OB-                                |  10|   0
106 |HD 214419                          |WR*|22 36 53.9549498582 +56 54 20.985957352| 8.68 | 9.21 | 8.80 |     ~|     ~|WN6o+O9Ib/II                       | 361|   1
107 |LS III +57 93                      |*  |22 49 20.6502863805 +57 45 31.437961786|10.59 |11.1  |10.8  |     ~|     ~|O9.5V                              |  13|   0
108 |LS III +56 109                     |V*?|22 55 44.9378898594 +56 28 36.642855787|     ~|11.11 |10.68 |     ~|     ~|O5.5V(n)((fc))+B                   |  13|   0
109 |HD 240160                          |*  |23 01 35.2140851026 +56 59 36.561432164| 9.98 |10.46 |10.11 |     ~|     ~|O9                                 |  20|   0
110 |HD 240165                          |*  |23 02 12.3527293488 +57 11 37.886371589|10.07 |10.50 |10.10 |     ~|     ~|O9.5V                              |  27|   0
111 |LS III +56 119                     |*  |23 02 44.5512569184 +57 03 50.207409048|10.47 |10.93 |10.84 |     ~|     ~|O9V                                |  10|   0
112 |BD+55 2840                         |*  |22 55 08.4858907666 +56 22 58.896348859| 9.9  |10.46 |10.01 |     ~|     ~|O7.5V(n)                           |  24|   0
113 |HD 218195                          |** |23 05 12.93161 +58 14 29.3496          | 7.91 | 8.62 | 8.44 |     ~|     ~|O8.5III                            |  67|   0
114 |PN Hb 12                           |PN |23 26 14.8207203464 +58 10 54.538636094|     ~|13.51 |11.49 |12.44 |     ~|Oe                                 | 315|   0
115 |V* GU Cas                          |Al*|00 16 25.0065549129 +56 20 46.743869850|     ~|11.22 |10.87 |     ~|     ~|OB                                 |  20|   0
116 |HD 5005D                           |*  |00 52 48.9539042360 +56 37 30.842785062| 8.98 | 9.84 | 9.78 |     ~|     ~|O9.2V                              |  21|   0
117 |HD 5005C                           |*  |00 52 49.5559334333 +56 37 36.821897414|     ~| 8.87 | 8.90 |     ~|     ~|O8.5V(n)                           |  22|   0
118 |HD 5005A                           |*  |00 52 49.2138443000 +56 37 39.508625441|     ~| 8.58 | 8.58 |     ~|     ~|O4V((fc))                          |  36|   0
119 |HD 15137                           |SB*|02 27 59.8115835376 +52 32 57.594553098| 7    | 7.92 | 7.86 |     ~|     ~|O9.5II-IIIn                        | 114|   0
120 |PN HDW 3                           |PN |03 27 15.4127456317 +45 24 20.388956560|     ~|17.084|17.187|17.218|17.234|DAO.6                              |  40|   1
121 |HD 191423                          |*  |20 08 07.1135734619 +42 36 21.963024228| 7.43 | 8.19 | 8.03 |     ~|     ~|ON9II-IIInn                        | 102|   0
122 |HD 189957                          |*  |20 01 00.0042530904 +42 00 30.818892996| 6.93 | 7.84 | 7.82 |     ~|     ~|O9.7III                            |  92|   0
123 |HD 192001                          |*  |20 11 01.7067715756 +42 07 36.398544136| 7.97 | 8.52 | 8.29 |     ~|     ~|O9.5IV                             |  46|   0
124 |HD 193793                          |WR*|20 20 27.9763345925 +43 51 16.289775091| 6.90 | 7.25 | 6.85 | 4.58 |     ~|WC7p+O5                            | 653|   1
125 |LS III +46 11                      |s*b|20 35 12.6367860828 +46 51 12.105513052|12.46 |12.295|10.926|10.005|     ~|O3.5If*+O3.5If*                    |  26|   0
126 |LS III +46 12                      |*  |20 35 18.5653057894 +46 50 02.911695779|11.07 |11.217|10.262| 9.640|     ~|O4.5IV(f)                          |  25|   0
127 |BD+46 2972                         |** |20 33 30.77 +47 02 58.0                |     ~|11.57 |11.07 |     ~|     ~|OB-                                |  13|   0
128 |BD+46 2978                         |*  |20 33 57.9952398477 +46 43 30.423070948|     ~| 9.60 | 9.29 |     ~|     ~|OB-                                |  11|   0
129 |BD+50 3188                         |Be*|20 45 08.6972741560 +50 33 00.322509537|     ~|10.75 |10.48 |     ~|     ~|OB-                                |  12|   0
130 |LS III +57 18                      |*  |21 55 15.2770190519 +57 39 45.374893344|     ~|12.84 |12.17 |     ~|     ~|O5V((f))                           |  10|   0
131 |* 14 Cep                           |SB*|22 02 04.5726568485 +58 00 01.308560227| 4.77 | 5.551| 5.542|     ~|     ~|O9IV(n)var+B1:V:                   | 242|   0
132 |BD+57 2513                         |*  |22 22 02.5850 +58 43 09.439            | 9.81 |10.20 | 9.63 |     ~|     ~|O9.5V                              |  21|   0
133 |MR 114                             |WR*|22 09 33.4427302357 +57 44 30.525316054|12.78 |12.91 |12.12 |     ~|     ~|WN4+O5V                            | 133|   0
134 |LS III +58 38                      |V* |22 34 45.9858966176 +58 18 04.708946982| 9.8  |10.45 |10.30 |     ~|     ~|O9p                                |  15|   0
135 |LS III +58 53                      |*  |22 45 59.9607021389 +59 01 33.841359754|11.49 |11.3  |10.31 |     ~|     ~|OB+                                |  10|   0
136 |HD 215835                          |SB*|22 46 54.1108577770 +58 05 03.531709415| 8.24 | 8.85 | 8.629|     ~| 8.049|O5.5V((f))+O6V((f))                | 238|   0
137 |LS III +57 83                      |*  |22 47 19.6931769870 +58 09 42.926780607|10.09 |10.65 |10.42 |     ~|     ~|O9.5                               |  12|   0
138 |LS III +57 90                      |Em*|22 47 50.5900198036 +58 05 12.354562581|10.4  |10.92 |10.56 |     ~|     ~|O7V((f))z                          |  20|   0
139 |HD 218941                          |*  |23 11 14.8157204030 +60 34 21.732077750|10.34 |10.34 | 9.678|     ~|     ~|O                                  |  18|   0
140 |BD+60 2584                         |Be*|23 35 41.4969750048 +61 11 19.329083185|10.25 |10.78 |10.3  |     ~|     ~|O                                  |  22|   0
141 |BD+60 2522                         |Em*|23 20 44.5136097871 +61 11 40.528599394| 8.46 | 9.08 | 8.67 |     ~|     ~|O6.5(n)fp                          | 201|   1
142 |LS I +60 29                        |*  |23 46 16.0671106881 +61 01 31.250283094|13.05 |13.27 |12.56 |12.47 |     ~|OB-                                |  10|   0
