C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
2053|AzV 208                            |Em*|00 58 33.3357562453 -72 39 32.203223594|13.01 |14.05 |14.15 |     ~|13.92 |O9                                 |  15|   0
2054|AzV 223                            |*  |00 59 13.4275434874 -72 39 02.635295577|12.36 |13.47 |13.67 |     ~|13.95 |O9.5II                             |  15|   0
2055|LIN 398                            |Em*|01 02 39.2204215402 -72 50 56.953847059|13.07 |14.15 |14.26 |     ~|14.12 |O7-B0                              |  12|   0
2056|SK 160                             |HXB|01 17 05.1447530244 -73 26 36.015353425|12.23 |13.00 |13.15 |     ~|13.17 |O9.7Ia+                            | 801|   0
2057|AzV 446                            |*  |01 09 25.4274868978 -73 09 29.907690746|13.37 |14.38 |14.61 |     ~|14.91 |O6.5Vz                             |  18|   0
2058|AzV 95                             |*  |00 51 21.5997393360 -72 44 14.875524423|12.67 |13.64 |13.83 |     ~|13.95 |O7III((f))                         |  35|   0
2059|LIN 193                            |HXB|00 51 52.0247273096 -73 10 34.142453336|13.39 |14.38 |14.45 |14.24 |14.28 |O9.5-B0V                           |  69|   0
2060|[MA93] 1694                        |Em*|01 09 21.9492113525 -73 15 41.915443488|13.93 |14.87 |15.10 |     ~|15.01 |O6.5II(f)                          |  10|   0
2061|Dachs SMC 3-10                     |Al*|01 13 42.4494389155 -73 17 29.515682514|12.49 |13.54 |13.48 |13.72 |13.54 |O2-3V+companion                    |  26|   0
2062|LIN 139                            |HXB|00 49 42.0074565521 -73 23 14.677257632|14.09 |15.00 |14.98 |     ~|14.70 |O9.5-B0.5III-V                     |  65|   0
2063|MOA J005118.6-733015               |WU*|00 51 18.7716172950 -73 30 16.281891999|14.17 |14.69 |14.91 |14.99 |15.57 |O8.5+O9/B0                         |  12|   0
2064|OGLE SMC-ECL- 3509                 |WU*|00 56 56.3596604314 -72 49 06.811982772|13.48 |14.95 |14.70 |14.99 |15.13 |O7/9                               |  13|   0
2065|[MA93] 226                         |Y*O|00 48 25.740 -73 05 56.67              |     ~|     ~|18.2  |     ~|     ~|O9.5                               |  11|   0
2066|LIN 156                            |s*b|00 50 32.4054204297 -72 52 36.444460019|11.553|12.604|12.756|     ~|12.89 |O5.5I(f)                           |  46|   0
2067|LIN 78                             |Em*|00 46 32.63 -73 06 05.7                |12.53 |13.59 |13.7  |     ~|13.85 |O3/4V                              |  41|   1
2068|OGLE SMC720.11.013342              |HXB|00 48 55.3604343180 -73 49 45.698489366|     ~|14.64 |14.69 |     ~|     ~|O9.5V                              |  16|   0
2069|SK 100                             |s*b|01 01 29.9588744794 -72 56 26.402769825|     ~|13.26 |13.42 |     ~|13.53 |O9.5Ia                             |  12|   0
2070|SXP 6.85                           |HXB|01 02 53.3181214914 -72 44 35.166325803|     ~|14.51 |14.59 |     ~|     ~|O9.5-B0IV-V                        |  55|   0
2071|SXP 11.5                           |HXB|01 04 42.28 -72 54 03.7                |     ~|14.81 |14.81 |     ~|     ~|O8.5-9.5IIIe                       |  28|   1
2072|OGLE SMC-ECL- 558                  |Al*|00 42 09.9209301398 -73 13 56.787428561|     ~|14.547|14.732|     ~|14.958|O8.5V                              |  14|   0
2073|SK 4                               |*  |00 44 57.0351087870 -73 59 13.397908275|12.78 |13.61 |13.78 |     ~|17.20 |O9.5Ib-II                          |  12|   0
2074|[MA93] 121                         |Em*|00 46 10.9452540716 -73 25 35.603065855|     ~|15.448|15.439|     ~|15.407|O                                  |  17|   0
2075|2MASS J00520059-7329255            |HXB|00 52 00.6120506265 -73 29 25.668210322|     ~|15.18 |15.18 |     ~|     ~|O8V/B0III                          |  11|   0
2076|SK 116                             |s*b|01 04 55.7399449710 -72 46 48.149096337|11.413|12.494|12.646|     ~|     ~|O9Iabw                             |  31|   0
2077|SK 143                             |*  |01 10 55.7240228183 -72 42 56.119467414|12.15 |12.98 |12.89 |12.78 |11.64 |O9.7Ib                             |  74|   0
2078|LHA 115-N 84C                      |Em*|01 14 17.17 -73 15 49.4                |     ~|14.65 |14.4  |     ~|     ~|O9V                                |  31|   0
2079|OGLE SMC-ECL- 1740                 |Al*|00 49 50.41 -73 19 32.0                |     ~|14.38 |14.53 |14.74 |14.63 |O9+O9                              |  10|   0
2080|AzV 94                             |Al*|00 51 20.1878442542 -72 49 43.448335600|12.80 |13.71 |13.94 |     ~|14.04 |O9+O9                              |  13|   0
2081|OGLE J004452.59-731825.4           |LP*|00 44 52.5630510331 -73 18 25.774988938|     ~|     ~|18.800|     ~|15.317|O-rich                             |  10|   0
2082|OGLE J004631.61-732846.0           |AB*|00 46 31.59 -73 28 46.4                |     ~|     ~|     ~|     ~|16.731|O-rich                             |  12|   0
2083|SK 157                             |*  |01 15 52.196 -73 20 48.32              |11.13 |12.97 |13.66 |     ~|     ~|O9.5                               |  40|   0
2084|AzV 377                            |*  |01 05 07.3822349267 -72 48 18.713796298|13.18 |14.34 |14.59 |     ~|14.83 |O5V((f))                           |  17|   0
2085|BBB SMC 33                         |Al*|00 50 27.9282264269 -73 03 16.540985295|13.04 |13.85 |13.88 |     ~|14.24 |B0III+O9V                          |  27|   0
2086|SK 10                              |s*b|00 46 42.1589052355 -73 24 55.493791820|11.903|12.984|13.176|     ~|13.35 |O6.5I(f)                           |  40|   0
2087|LIN 203                            |HXB|00 52 13.9960952088 -73 19 18.814054598|     ~|14.66 |14.67 |     ~|14.534|O9.5IIIe/B0Ve                      |  77|   0
2088|AzV 251                            |Be?|01 00 22.1535237604 -72 30 48.735257282|13.38 |14.47 |14.69 |     ~|14.93 |O7Vn                               |  13|   0
2089|AzV 411                            |*  |01 07 00.9211733172 -72 13 16.288548330|12.45 |13.53 |13.83 |     ~|14.06 |O9III                              |  12|   0
2090|AzV 67                             |Em*|00 50 11.1185380998 -72 32 35.139681707|12.55 |13.60 |13.73 |     ~|13.89 |O9III                              |  16|   0
2091|AzV 387                            |El*|01 05 39.9412535527 -72 16 05.520237516|12.54 |13.67 |13.92 |     ~|14.22 |O9.5III                            |  10|   0
2092|LIN 468                            |Em*|01 07 10.7147569173 -72 20 34.785261252|14.08 |15.17 |15.34 |     ~|15.53 |O9e                                |  10|   0
2093|AzV 258                            |Em*|01 00 44.5200660720 -72 29 50.334883437|12.71 |13.78 |13.89 |     ~|13.67 |O9e                                |  11|   0
2094|AzV 302                            |*  |01 02 19.0563200592 -72 22 04.467104234|13.07 |14.09 |14.18 |     ~|14.40 |O9III                              |  13|   0
2095|[MA93] 810                         |HXB|00 54 56.1753852837 -72 26 47.860478480|14.17 |15.24 |15.28 |     ~|15.11 |O9V                                |  68|   0
2096|[MLD95] SMC 16                     |Be?|01 00 43.9410121774 -72 26 05.151951622|13.16 |14.18 |14.35 |     ~|14.49 |O9.5III                            |  14|   0
2097|OGLE SMC-ECL- 4662                 |Al*|01 03 13.9816054269 -72 25 07.639916277|13.16 |14.28 |14.48 |     ~|14.76 |O8.5V                              |  12|   0
2098|OGLE SMC-SC10 24428                |*  |01 03 29.73 -72 17 55.7                |     ~|14.87 |14.95 |     ~|     ~|O9III-V                            |  10|   0
2099|AzV 186                            |*  |00 57 26.9388728646 -72 33 13.560551338|12.66 |13.88 |13.86 |     ~|14.15 |O8III((f))                         |  23|   0
2100|SK 35                              |*  |00 50 18.1231442166 -72 38 10.034205556|11.04 |10.96 |12.40 |     ~|12.12 |O9.5Ib                             |  39|   0
2101|AzV 83                             |s*b|00 50 52.0009104477 -72 42 14.942933567|12.233|13.244|13.366|     ~|13.67 |O7Iaf+                             |  43|   0
2102|AzV 114                            |Em*|00 52 02.2024223524 -72 39 29.932453840|     ~|14.41 |14.9  |     ~|     ~|O8V                                |  12|   0
2103|SK 80                              |s*b|00 59 31.9755771921 -72 10 46.109784216|     ~|12.12 |12.31 |     ~|     ~|O7Iaf+                             | 105|   0
2104|RMC 28                             |s*b|01 03 10.5476947249 -72 02 14.334409660|11.833|12.924|13.086|     ~|13.60 |O9.7I                              |  36|   0
2105|AzV 238                            |** |00 59 55.5072197088 -72 13 37.781814622|     ~|13.55 |13.77 |     ~|     ~|O9III                              |  31|   0
2106|AzV 296                            |*  |01 02 08.6474233441 -72 13 20.015253165|13.01 |14.19 |14.38 |     ~|14.62 |O7.5V((f))                         |  17|   0
2107|AzV 177                            |*  |00 56 44.1039426083 -72 03 31.678690906|13.22 |14.39 |14.62 |     ~|14.90 |O4Vz                               |  22|   0
2108|AzV 207                            |*  |00 58 33.1898142618 -71 55 46.720823750|12.99 |14.13 |14.35 |     ~|14.58 |O7Vz((f))                          |  32|   0
2109|AzV 267                            |*  |01 01 15.6927279903 -72 06 35.368445761|     ~|14.58 |14.84 |     ~|     ~|O7.5-8V                            |  16|   0
2110|AzV 282                            |*  |01 01 49.9346578210 -72 13 14.775295981|13.50 |14.51 |14.76 |     ~|15.04 |O7V                                |  12|   0
2111|AzV 439                            |*  |01 08 51.0863919642 -71 49 51.680873294|13.47 |14.49 |14.68 |     ~|14.87 |O9.5III                            |  12|   0
2112|AzV 135                            |*  |00 52 49.4940809163 -72 08 26.860837167|12.72 |13.70 |13.99 |     ~|14.24 |O8III                              |  10|   0
2113|AzV 220                            |Em*|00 59 09.9684677094 -72 05 48.278343943|13.13 |14.24 |14.51 |     ~|14.73 |O7If                               |  35|   0
2114|AzV 226                            |*  |00 59 20.7287691158 -72 17 10.615963093|12.97 |14.12 |14.19 |     ~|     ~|O7IIIn((f))                        |  24|   0
2115|AzV 244                            |*  |01 00 10.7030934810 -71 48 06.054187296|13.27 |14.27 |14.47 |     ~|14.73 |O9-9.5V                            |  10|   0
2116|AzV 321                            |*  |01 02 57.0821990983 -72 08 09.112651446|12.49 |13.66 |13.82 |     ~|14.10 |O9.5Ib                             |  25|   0
2117|AzV 378                            |*  |01 05 09.4353146538 -72 05 34.657093360|12.60 |13.64 |13.90 |     ~|14.18 |O9.5III                            |  23|   0
2118|AzV 440                            |*  |01 08 56.0209999538 -71 52 46.695829015|13.42 |14.30 |14.58 |     ~|14.76 |O7.5III((f))                       |  20|   0
2119|AzV 435                            |*  |01 08 17.9030202411 -71 59 54.337924582|12.93 |13.98 |14.11 |     ~|13.97 |O3V((f*))                          |  16|   0
2120|Cl* NGC 346 ELS 7                  |*  |00 58 57.3952116864 -72 10 33.661396129|12.68 |13.82 |14.13 |     ~|14.28 |O4V((f+))                          |  49|   0
2121|Cl* NGC 346 NMC 28                 |*  |00 59 01.799 -72 10 31.23              |     ~|13.95 |14.18 |     ~|     ~|O5.5V((f+))                        |  27|   0
2122|Cl* NGC 346 NMC 17                 |*  |00 59 06.7476389850 -72 10 41.262026867|13.05 |14.19 |14.33 |     ~|14.60 |O8V                                |  18|   0
2123|LHA 115-N 78C                      |Em*|01 05 41.156 -72 03 40.74              |     ~|14.69 |13.5  |     ~|     ~|O7-O9                              |  18|   0
2124|AzV 398                            |s*b|01 06 09.8133816421 -71 56 00.746563020|13.15 |13.94 |13.98 |     ~|13.71 |O9.7Ia                             |  41|   0
2125|RMC 31                             |WR*|01 03 25.2276668802 -72 06 43.858552056|     ~|12.11 |12.30 |     ~|     ~|WN3:h+O5.5V+O5.5If+O7.5V           | 109|   0
2126|SK 32                              |*  |00 50 01.8664449585 -72 11 26.590816403|12.313|13.414|13.596|     ~|13.77 |O6III((f))                         |  34|   0
2127|HD 5980                            |WR*|00 59 26.5847969465 -72 09 53.927725716|     ~|11.13 |11.31 |     ~|11.029|WN4+O7I:                           | 362|   1
2128|LIN 389                            |HXB|01 01 52.2957229970 -72 23 34.046468784|13.84 |14.57 |14.94 |15.48 |14.85 |O9-B0III                           |  36|   0
2129|MOA J010321.3-720538               |WU*|01 03 21.3006426753 -72 05 38.156822014|12.06 |13.15 |13.36 |     ~|13.95 |O6V+O4/5III(f)                     |  20|   0
2130|SV* HV 1897                        |cC*|01 02 17.8501762815 -71 16 53.793281978|     ~|17.089|16.764|     ~|16.288|O                                  |  11|   0
2131|SNR B0104-72.2                     |SNR|01 05 21.7206425701 -72 08 42.546310905|14.41 |15.53 |15.75 |     ~|16.01 |O9V                                |  32|   1
2132|LHA 115-S 31                       |s*b|01 00 42.0755226890 -71 31 12.253385909|     ~|12.61 |12.74 |12.99 |     ~|B0Ie+O9V                           |  17|   0
2133|Cl* NGC 346 ELS 28                 |*  |00 58 31.7535036663 -72 10 57.966053276|13.58 |14.73 |14.94 |     ~|15.23 |OC6Vz                              |  25|   0
2134|Cl* NGC 346 W 4                    |Al*|00 59 00.0527912635 -72 10 37.960382171|11.82 |12.93 |13.13 |     ~|13.77 |O5-6V                              |  34|   0
2135|Cl* NGC 346 ELS 22                 |*  |00 59 18.6174080795 -72 11 09.889202050|     ~|14.65 |14.91 |     ~|     ~|O9V                                |  18|   0
2136|Cl* NGC 346 ELS 50                 |*  |00 58 55.2201548139 -72 09 06.692331621|14.07 |15.24 |15.49 |     ~|15.80 |O8Vn                               |  10|   0
2137|Cl* NGC 346 ELS 77                 |*  |00 58 48.9420042955 -72 09 52.106287967|14.64 |15.64 |15.62 |     ~|16.09 |O9V                                |  10|   0
2138|RX J0055.2-7238                    |HXB|00 55 18.436 -72 38 51.85              |     ~|16.02 |15.87 |     ~|     ~|O9.5V                              |  33|   0
2139|[SBV2013] B115                     |*  |00 56 17.3228694887 -72 17 28.656595423|14.03 |15.10 |15.20 |     ~|15.44 |O9V                                |  18|   0
2140|SK 101                             |*  |01 01 57.2230784164 -72 12 42.219224888|11.853|12.774|12.536|     ~|13.65 |O9.5I                              |  20|   0
2141|AzV 120                            |*  |00 52 20.3737895510 -72 09 10.188716032|13.18 |14.14 |14.43 |     ~|14.68 |O9.5III                            |  13|   0
2142|Cl* NGC 346 ELS 31                 |*  |00 59 54.0609710475 -72 04 31.421162212|13.71 |14.81 |15.05 |     ~|15.33 |O8Vz                               |  15|   0
2143|MCELS S-177                        |*  |01 11 05.6169367382 -72 13 41.755176619|     ~|15.20 |15.43 |     ~|     ~|O9V                                |  10|   0
2144|Cl* NGC 330 ELS 123                |*  |00 56 03.70 -72 27 12.8                |     ~|15.57 |15.79 |     ~|15.945|O9.5V                              |  17|   0
2145|Cl* NGC 346 MPG 217                |Em*|00 58 46.884 -72 13 02.34              |     ~|14.66 |14.78 |     ~|14.62 |O9.5IIIe                           |  12|   0
2146|Cl* NGC 346 W 3                    |*  |00 59 00.7582411392 -72 10 28.171999499|11.46 |12.61 |12.80 |     ~|13.63 |O2III(f)                           |  57|   0
2147|Cl* NGC 346 ELS 51                 |*  |00 59 08.6953446077 -72 10 14.138252086|14.03 |15.17 |15.40 |     ~|15.62 |O7Vz                               |  13|   0
2148|MOA J010015.9-721244               |Al*|01 00 16.0461561991 -72 12 44.170174094|13.57 |14.23 |14.50 |     ~|14.60 |O8+O9                              |  10|   0
2149|SMC AB 7                           |WR*|01 03 35.9234112413 -72 03 22.120394056|11.933|12.954|13.016|     ~|13.32 |WN4+O6I(f)                         |  45|   0
2150|LHA 115-N 77A                      |Em*|01 02 49.122 -71 53 17.99              |     ~|14.66 |14.20 |15.31 |15.16 |O9                                 |  22|   1
2151|AzV 429                            |Al*|01 07 59.8336580662 -72 00 53.979194048|13.40 |14.49 |14.69 |     ~|14.91 |O7Vz                               |  15|   0
2152|LHA 115-S 32                       |Em*|01 01 29.5168700413 -72 23 20.040781822|12.58 |13.85 |13.85 |     ~|13.69 |O8IIIze                            |  14|   0
2153|CD-58 4304                         |Em*|11 58 18.7929422635 -59 26 01.347469042| 9.91 |10.47 |10.38 |10.47 |     ~|OB-e                               |  11|   0
2154|HD 307300                          |Em*|11 53 05.0675313728 -60 23 17.435377308| 9.65 |10.28 |10.18 |10.36 |     ~|OB-e                               |  12|   0
2155|CD-59 4055                         |Em*|11 59 27.0383149987 -60 33 49.756024340| 9.74 |10.46 |10.31 |10.33 |     ~|OB                                 |  11|   0
2156|HD 307007                          |Em*|11 43 21.2942910380 -61 11 21.181410041| 9.54 |10.15 |10.06 |10.19 |     ~|OB-:e                              |  12|   0
2157|HD 102415                          |*  |11 46 54.4038347193 -61 27 46.985374046| 8.51 | 9.44 | 9.35 | 9.67 |     ~|ON9IIInn                           |  35|   0
2158|HD 306962                          |Be*|11 42 36.2160966127 -59 58 41.363714650| 9.07 |10.37 | 9.91 | 9.92 |     ~|OB+                                |  25|   0
2159|HD 307293                          |Em*|11 51 59.6922588305 -59 59 07.123825911| 9.41 |10.13 |10.02 |10.17 |     ~|OB-e                               |  11|   0
2160|V* MP Cen                          |bL*|11 43 45.7528938167 -61 44 36.008330574| 9.72 |10.40 |10.29 |10.26 | 9.729|OB                                 |  31|   0
2161|HD 309297                          |*  |11 54 41.9262962473 -62 29 17.466272508| 9.29 |10.26 | 9.92 | 9.93 |     ~|OB                                 |  13|   0
2162|HD 309293                          |*  |11 57 44.9102640454 -62 22 33.133060026| 9.54 |10.47 |10.00 | 9.94 |     ~|OB                                 |  12|   0
2163|HD 309428                          |*  |11 58 37.4685061173 -62 27 26.697849651|10.63 |11.08 |10.74 |10.68 |     ~|OB                                 |  11|   0
2164|HD 309018                          |Al*|11 42 56.3819505999 -62 48 24.347321618| 9.86 |10.58 |10.45 |10.28 |     ~|OB+                                |  18|   0
2165|HD 309037                          |*  |11 47 20.9293312810 -63 25 39.120913943| 8.81 | 9.66 | 9.64 | 9.87 |     ~|OB                                 |  13|   0
2166|HD 309035                          |*  |11 48 29.0768824499 -63 23 37.627290383|10.52 |10.95 |10.31 |10.21 |     ~|OB                                 |  11|   0
2167|HD 309336                          |*  |11 57 00.7590472710 -62 55 45.525664382|10.23 |10.93 |10.65 |10.69 |     ~|OB                                 |  14|   0
2168|HD 309333                          |*  |11 59 41.0726055078 -62 59 26.020048688|10.86 |11.28 |10.62 |10.46 |     ~|OB+                                |  12|   0
2169|V* V350 Cen                        |Al*|11 50 11.0696197769 -63 39 10.482780845|10.12 |10.86 |10.57 |10.57 |     ~|OB                                 |  22|   0
2170|HD 102567                          |Be*|11 48 00.0214627917 -62 12 24.900348094| 8.24 | 9.06 | 9.00 | 9.62 |     ~|O/Bne                              | 289|   0
2171|HD 101545                          |** |11 40 37.00313 -62 34 05.1669          | 5.54 | 6.40 | 6.38 | 7.57 |     ~|O9.5Ib+B0.5Iab                     |  70|   1
2172|HD 308818                          |*  |11 37 55.1921797893 -63 21 45.408244779| 8.85 | 9.78 | 9.78 | 9.95 |     ~|OB+                                |  33|   0
2173|HD 101190                          |*  |11 38 09.9112605648 -63 11 48.613340265| 6.58 | 7.37 | 7.33 | 8.48 |     ~|O6IV((f))                          | 151|   0
2174|HD 101223                          |*  |11 38 22.7705432957 -63 12 02.797195093| 8.12 | 9.55 | 9.51 | 9.41 |     ~|O8V                                |  73|   0
2175|HD 101333                          |*  |11 39 12.7660765308 -63 31 13.562315057| 8.44 | 9.08 | 8.99 | 9.57 |     ~|O9.5/B0III                         |  45|   0
2176|HD 101413                          |*  |11 39 45.8373092369 -63 28 40.112594841| 7.62 | 9.16 | 9.21 | 9.13 |     ~|O8V                                | 114|   0
2177|HD 308813                          |*  |11 37 58.4452932431 -63 18 59.456868369| 8.46 | 9.68 | 9.73 | 9.74 |     ~|O9.7IV(n)                          |  70|   0
2178|HD 308810                          |*  |11 39 10.3035338318 -63 18 51.755403286| 8.89 | 9.71 | 9.70 |     ~|     ~|OB                                 |  28|   0
2179|CPD-62 2198                        |*  |11 39 27.3261845500 -63 11 06.624114939|11.19 |11.60 |10.89 |10.74 |     ~|OB+                                |  18|   0
2180|HD 101298                          |*  |11 39 03.2760123394 -63 25 47.049722945| 7.33 | 8.15 | 8.07 | 8.84 |     ~|O6.5IV((f))                        | 108|   0
2181|V* V1051 Cen                       |Al*|11 37 48.4339787468 -63 19 23.517391104| 6.28 | 7.18 | 7.16 | 8.11 |     ~|O5.5V((f))+O8:V                    | 132|   1
2182|HD 309110                          |V* |11 49 55.0311369817 -62 55 19.651310203|10.44 |10.86 |10.60 |10.68 |     ~|OB+                                |  14|   0
2183|HD 101191                          |SB*|11 38 12.1659743817 -63 23 26.794409197| 7.69 | 9.32 | 9.36 | 9.29 |     ~|O8V                                |  74|   0
2184|HD 101436                          |*  |11 39 49.9551036486 -63 28 43.541077482| 6.8  | 8.98 | 8.93 | 8.78 |     ~|O6.5V((f))                         | 126|   1
2185|CD-72 758                          |*  |11 58 59.9565060394 -73 25 48.321165405| 9.69 |10.64 |10.61 |10.91 |     ~|OB                                 |  35|   0
2186|HD 104565                          |s*b|12 02 27.7963615668 -58 14 34.357788781| 9    | 9.55 | 9.27 | 9.65 |     ~|OC9.7Iab                           |  44|   0
2187|CD-59 4161                         |Em*|12 14 07.6445813449 -60 36 08.444658236|10.07 |10.47 |10.15 |10.40 |     ~|O9.5Ve                             |  18|   0
2188|CD-59 4171                         |*  |12 14 47.5820738250 -60 19 12.764688769|10.16 |10.77 |10.39 |10.42 |     ~|O6V                                |  20|   0
2189|CCDM J12162-6032AB                 |** |12 16 11.083 -60 31 51.14              | 9.33 | 9.89 | 9.65 | 9.77 |     ~|OB                                 |  19|   0
2190|CD-59 4187                         |*  |12 16 42.9600494782 -60 24 15.397831691|10.33 |11.03 |10.71 |10.75 |     ~|O9.5II:                            |  17|   0
2191|CD-60 3974                         |*  |12 06 31.4899493319 -61 14 33.849834487| 9.53 |10.09 | 9.98 |10.19 | 9.76 |OB-                                |  14|   0
2192|CD-60 3976                         |*  |12 06 34.3084729862 -61 13 25.082437700| 9.78 |10.36 |10.24 |10.45 |10.07 |OB-                                |  11|   0
2193|CPD-60 3745                        |*  |12 06 47.9184540215 -61 16 39.543633071|10.05 |10.59 |10.44 |10.56 |10.13 |OB                                 |  12|   0
2194|CD-60 3985                         |*  |12 06 57.6390071278 -61 16 03.080620363| 8.97 | 9.468| 9.44 | 9.80 | 9.12 |OB-                                |  14|   0
2195|CD-60 3986                         |*  |12 07 00.1979540671 -61 17 38.209686237| 9.68 |10.14 |10.00 |10.14 | 9.70 |OB                                 |  13|   0
2196|CD-60 4042                         |*  |12 13 28.1567688324 -61 36 25.554462151| 9.51 | 9.94 | 9.71 | 9.92 |     ~|OB-                                |  11|   0
2197|CD-60 4067                         |s*b|12 15 50.2092207764 -61 19 53.975619878| 9.69 |10.07 | 9.62 | 9.70 |     ~|O9.5Ia                             |  19|   0
2198|HD 104631                          |Pu*|12 02 56.3528052462 -62 10 31.032926794| 6.08 | 6.808| 6.771| 7.91 |     ~|O9.5/B0III/IV                      |  45|   0
2199|HD 105627                          |*  |12 09 44.5816285147 -62 34 54.626419143| 7.31 | 8.21 | 8.19 | 9.05 |     ~|O9III                              |  70|   0
2200|HD 309457                          |*  |12 03 21.9041010423 -62 53 04.288901658| 9.66 |10.49 |10.10 |10.05 |     ~|OB                                 |  14|   0
2201|TYC 8983-516-1                     |*  |12 19 56.0500560220 -63 45 09.017386677|11.75 |11.86 |11.23 |11.14 |     ~|OB                                 |  11|   0
2202|CPD-64 1874                        |*  |12 21 44.7878387581 -65 21 37.020488869| 9.39 |10.16 |10.15 |10.35 |     ~|O9                                 |  11|   0
2203|TYC 9227-997-1                     |*  |12 17 52.6394598632 -68 00 07.188279861|11.31 |11.81 |11.58 |11.67 |     ~|OB                                 |  10|   0
2204|HD 105056                          |s*b|12 05 49.8805966991 -69 34 22.993604342| 6.57 | 9.07 | 8.74 | 8.45 |     ~|ON9.7Iae                           | 120|   1
2205|TYC 9231-306-1                     |*  |12 07 44.0378480434 -70 22 01.797802623|10.42 |11.20 |11.12 |11.32 |     ~|OB                                 |  10|   0
2206|HIP 60203                          |*  |12 20 43.3181978875 -70 51 49.030631053|10.38 |11.04 |10.88 |10.99 |     ~|OBnn                               |  13|   0
2207|CD-59 4314                         |s*b|12 35 51.3967521217 -60 31 29.231309727|10.07 |10.67 |10.29 |10.28 |     ~|O9.5Iab                            |  20|   0
2208|CD-60 4231                         |*  |12 31 43.7384185816 -61 02 19.567390062| 9.09 | 9.68 | 9.64 | 9.92 |     ~|OB                                 |  13|   0
2209|CD-60 4299                         |Be*|12 38 36.2010664647 -61 15 12.925471351|10.56 |10.96 |10.42 |10.34 |     ~|OB+                                |  14|   0
2210|CD-61 3438                         |*  |12 23 19.5560969677 -61 43 39.953575043| 9.49 |10.44 |10.10 |10.18 |     ~|O9.5III                            |  14|   0
2211|CD-61 3487                         |*  |12 30 15.6798404216 -62 28 54.486071585|10.85 |11.19 |10.52 |10.38 |     ~|O7                                 |  18|   0
2212|V* FG Cru                          |bC*|12 37 47.7404392306 -62 19 22.876784968|10.15 |10.60 |10.17 |10.16 |     ~|OB                                 |  11|   0
2213|WRAY 15-992                        |Em*|12 38 06.0297299342 -62 45 08.911928380|11.28 |11.73 |10.98 |10.74 |     ~|OB+                                |  13|   0
2214|CPD-63 2356                        |Be*|12 35 32.4703811275 -64 13 16.480806645|10.04 |10.59 |10.33 |10.47 |     ~|OB+                                |  18|   0
2215|HD 311846                          |*  |12 42 39.298 -62 01 29.85              |11.51 |11.35 |10.26 |10.06 |     ~|OB+                                |  11|   1
2216|HD 311884                          |WR*|12 43 50.9989169468 -63 05 14.811840934|11.45 |11.64 |10.81 |10.59 |     ~|WN6+O5V                            | 156|   0
2217|Cl Hogg 15 2                       |*  |12 43 32.608 -63 05 56.15              |     ~|12.85 |12.11 |     ~|     ~|OB+                                |  12|   0
2218|NGC 4609 32                        |*  |12 42 58.5820925940 -63 06 49.758031731|12.74 |12.58 |11.23 |     ~|     ~|O5                                 |  10|   0
2219|HD 108170                          |*  |12 25 54.4325347659 -62 14 57.140107124| 8.49 | 9.01 | 8.69 | 9.40 |     ~|O9.5/B0                            |  29|   0
2220|Cl* Hogg 15 M 5                    |*  |12 43 35.8812841848 -63 06 05.095722816|     ~|13.13 |12.21 |     ~|     ~|OB+                                |  13|   0
2221|CD-66 1261                         |*  |12 38 49.2928615442 -66 52 12.294860991| 9.71 |10.41 |10.29 |10.43 |     ~|OB-                                |  10|   0
2222|HD 116852                          |*  |13 30 23.5190459533 -78 51 20.544585252| 8.29 | 8.38 | 8.47 |     ~|     ~|O8.5II-III((f))                    | 134|   1
2223|JL 76                              |HS*|21 31 05.2152203759 -82 40 53.175087422|10.71 |11.43 |11.29 |     ~|     ~|sdOB                               |  11|   0
2224|CPD-57 5684                        |*  |12 45 39.2881837978 -57 41 12.911067479|11.11 |11.76 |11.59 |11.67 |     ~|OB+                                |  10|   0
2225|CPD-60 4263                        |Em*|12 44 33.8744974322 -61 09 25.185350990|11.34 |11.64 |11.11 |11.01 |     ~|OB+e                               |  11|   0
2226|HD 312076                          |Em*|12 52 38.3641022989 -60 20 19.147901738|10.56 |11.18 |10.95 |11.04 |10.70 |OBe                                |  14|   0
2227|HD 312074                          |*  |12 52 57.5023498169 -60 17 23.996763182|     ~|10.80 |10.59 |10.70 |     ~|OB                                 |  17|   0
2228|HD 311973                          |Em*|12 48 26.6504801836 -61 14 59.643522483|11.57 |12.07 |11.27 |10.88 |     ~|OB+                                |  14|   0
2229|HD 312228                          |Em*|13 00 08.2825687685 -60 47 51.184843150|10.91 |11.36 |11.06 |11.19 |     ~|OB                                 |  10|   0
2230|HD 110360                          |*  |12 42 12.7021049257 -60 39 08.704606517| 8.69 | 9.79 | 9.58 | 9.77 |     ~|ON7V                               |  50|   0
2231|HD 311813                          |*  |12 43 34.3245582915 -61 15 42.433907440|     ~|10.56 |10.11 |10.10 |     ~|OB-k                               |  10|   0
2232|V* BV Cru                          |bC*|12 53 39.1721723528 -60 21 12.845959481| 8.07 | 8.797| 8.60 | 9.43 |     ~|OB                                 |  27|   0
