C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
69  |V* AZ Cyg                          |s*r|20 57 59.4437981973 +46 28 00.573182547|13.91 |11.41 | 8.85 |     ~|     ~|M2-M4Iab              |  46|   0
70  |V* RZ Cyg                          |Mi*|20 51 53.1764843774 +47 21 20.361956991|     ~|11.40 |     ~|     ~|     ~|M7                    |  41|   0
71  |Wolf 926                           |PM*|21 34 50.3390458060 +51 32 13.598437398|     ~|13.50 |     ~|10.8  |     ~|M2.5Ve                |  35|   0
72  |HD 235661                          |C* |21 55 05.2293152159 +54 29 01.602034045|     ~|12.60 | 8.877|     ~|     ~|C5,4_MS3              |  36|   0
73  |V* V416 Lac                        |LP*|22 38 37.9229848 +56 47 44.282738      |     ~| 6.684| 5.167|     ~|     ~|M4+III                |  90|   0
74  |V* U Lac                           |s*r|22 47 43.4264404880 +55 09 30.316069125|13.20 |11.74 | 9.40 |     ~|     ~|M3Ia                  |  70|   0
75  |V* ST Cep                          |s*r|22 30 10.7378149736 +57 00 03.067223413|14.30 |11.98 | 9.70 | 7.50 | 5.75 |M2Ia-Iab              |  72|   0
76  |V* V358 Cas                        |s*r|23 30 27.3721802597 +57 58 33.704652387|     ~|12.68 | 9.98 |     ~|     ~|M3Ia                  |  45|   0
77  |BD+57 2735                         |PM*|23 24 30.5145080333 +57 51 15.516771965|     ~|11.56 |     ~| 9.586|     ~|M1.5Ve                |  94|   0
78  |V* Z Cas                           |Mi*|23 44 31.6023976198 +56 34 52.971066064|     ~|     ~|     ~|     ~|     ~|M7-e                  |  74|   1
79  |Wolf 33                            |PM*|00 51 29.8362873978 +58 18 07.299386394|     ~|11.95 |10.64 | 9.8  | 8.995|M0.0Ve                |  59|   0
80  |* eta Cas                          |PM*|00 49 06.2907161 +57 48 54.675740      | 4.04 | 4.02 | 3.44 | 2.94 | 2.58 |F9V+M0-V              | 599|   0
81  |V* AA Cas                          |LP*|01 19 25.6586740489 +56 19 45.007934055|     ~| 9.93 | 8.54 |     ~|     ~|M6III:                |  32|   0
82  |V* VZ Cas                          |Mi*|01 16 28.3030714945 +56 23 43.485359290|     ~|12.98 |10.64 |     ~|     ~|M2-3e                 |  31|   0
83  |V* AX Per                          |Sy*|01 36 22.6996835649 +54 15 02.411289057|     ~|11.45 |10.67 |11.04 |     ~|M3IIIep+A0            | 275|   1
84  |V* U Per                           |Mi*|01 59 35.1218303308 +54 49 20.010515081|     ~|10.11 | 8.76 |     ~|     ~|M5.5-7e               | 103|   0
85  |V* RR Per                          |Mi*|02 28 29.4088157316 +51 16 17.272979424|     ~|     ~|     ~|13.09 |     ~|M6.5e:                |  73|   0
86  |* tet Per B                        |PM*|02 44 10.2671029181 +49 13 54.003171390|     ~|10.8  | 9.87 | 9.6  |     ~|M1.5V                 |  49|   0
87  |MCC 99                             |** |03 09 30.8119359509 +45 43 58.828353734|     ~|     ~|     ~| 9.720|     ~|M2.0Ve                |  65|   0
88  |V* RU Cyg                          |Mi*|21 40 39.0911871228 +54 19 28.945595414|     ~| 9.14 | 7.29 |     ~|     ~|M7II-III              | 100|   0
